"序号","标题","发布日期","来源网站","网址","来源栏目","证据类型","结构线索摘录","正文验证","正文验证说明","采集说明"
"12","裕民县人民政府2025年度第二十次常务会会议纪要","2025-08-25","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3478","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"13","沙湾市人民政府2025年第九次常务会议纪要","2025-08-22","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_40017","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"14","裕民县人民政府2025年度第十九次常务会会议纪要","2025-08-08","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3477","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"15","裕民县人民政府2025年度第十八次常务会会议纪要","2025-07-31","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3476","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"16","裕民县人民政府2025年度第十七次常务会会议纪要","2025-07-25","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3475","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"17","沙湾市人民政府2025年第八次常务会议纪要","2025-07-24","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_39266","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"18","裕民县人民政府2026年度第十六次常务会会议纪要","2025-07-07","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3474","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"19","裕民县人民政府2025年度第十五次常务会会议纪要","2025-06-30","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3473","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"20","裕民县人民政府2025年度第十四次常务会会议纪要","2025-06-18","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3079","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"21","沙湾市人民政府2025年第七次常务会议纪要","2025-05-28","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_39262","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"22","裕民县人民政府2025年度第十三次常务会议纪要","2025-05-21","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3077","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"23","裕民县人民政府2025年度第十二次常务会会议纪要","2025-05-07","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3075","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"24","裕民县人民政府2025年度第十一次常务会会议纪要","2025-04-25","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_3073","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"25","沙湾市人民政府2025年第六次常务会议纪要","2025-04-25","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_38072","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"26","裕民县人民政府第十次常务会议纪要","2025-04-18","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2695","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"27","裕民县人民政府第九次常务会议纪要","2025-04-04","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2694","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"28","沙湾市人民政府2025年第五次常务会议纪要","2025-03-27","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_37993","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"29","沙湾市人民政府2026年第四次常务会会议纪要","2025-03-17","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_41818","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"30","裕民县人民政府第八次常务会议纪要","2025-03-15","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2693","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"31","裕民县人民政府第七次常务会议纪要","2025-03-08","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2692","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"32","沙湾市人民政府2025年第四次常务会议纪要","2025-03-04","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_37991","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"33","裕民县人民政府第六次常务会议纪要","2025-02-28","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2691","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"34","沙湾市人民政府2025年第三次常务会议纪要","2025-02-21","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_37992","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"35","裕民县人民政府第五次常务会议纪要","2025-02-18","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2690","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"36","裕民县人民政府第四次常务会议纪要","2025-02-08","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2689","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"37","裕民县人民政府第三次常务会议纪要","2025-01-28","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2643","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"38","裕民县人民政府第二次常务会议纪要","2025-01-20","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2642","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"39","沙湾市人民政府2025年第二次常务会会议纪要","2025-01-16","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_37328","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"40","裕民县人民政府第一次常务会会议纪要","2025-01-15","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2640","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"41","沙湾市人民政府2025年第一次常务会会议纪要","2025-01-08","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_37327","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"42","沙湾市人民政府2024年第十六次政府常务会议纪要","2024-11-15","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_36917","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"43","裕民县人民政府第七次常务会会议纪要","2024-11-05","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2351","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"44","沙湾市人民政府2024年第十五次政府常务会议纪要","2024-10-25","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_36800","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"45","沙湾市人民政府2024年第十四次政府常务会议纪要","2024-09-24","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_35878","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"46","沙湾市人民政府2024年第十三次政府常务会议纪要","2024-09-20","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_35989","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"47","沙湾市人民政府2024年第十二次政府常务会议纪要","2024-09-04","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_35877","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"48","沙湾市人民政府2024年第十一次政府常务会议纪要","2024-08-05","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_35245","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"49","裕民县人民政府2024年度第十四次常务会会议纪要","2024-07-25","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2169","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"50","裕民县人民政府2024年度第十三次常务会会议纪要","2024-07-22","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2168","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"51","沙湾市人民政府2024年第十次政府常务会议纪要","2024-07-18","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_35244","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"52","沙湾市人民政府2024年第九次政府常务会议纪要","2024-07-05","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_35239","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"53","裕民县人民政府2024年度第十一次常务会会议纪要","2024-06-28","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2165","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"54","沙湾市人民政府2024年第八次政府常务会议纪要","2024-06-14","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_34821","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"55","沙湾市人民政府2024年第七次政府常务会议纪要","2024-05-27","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_34820","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"56","裕民县人民政府2024年度第九次常务会会议纪要","2024-05-23","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_2163","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"57","沙湾市人民政府2024年第六次政府常务会议纪要","2024-05-09","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_27966","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"58","裕民县人民政府2024年度第八次常务会会议纪要","2024-05-02","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1994","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"59","沙湾市人民政府2024年第五次政府常务会议纪要","2024-04-30","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_27965","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"60","沙湾市人民政府2024年第四次政府常务会议纪要","2024-04-23","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_27964","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"61","裕民县人民政府2024年度第六次常务会会议纪要","2024-04-15","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1993","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"62","沙湾市人民政府2024年第三次政府常务会议纪要","2024-04-12","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_27962","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"63","裕民县人民政府2024年度第五次常务会会议纪要","2024-03-29","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1992","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"64","沙湾市人民政府2024年第二次政府常务会议纪要","2024-03-18","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_27957","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"65","裕民县人民政府2024年度第四次常务会会议纪要","2024-03-04","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1991","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"66","沙湾市人民政府2024年第一次政府常务会议纪要","2024-02-02","沙湾市人民政府网站","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy/content_27956","https://www.xjsw.gov.cn/xxgk/fdzdgknr/zdhyxx/zfcwhy","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"67","裕民县人民政府2024年度第二次常务会会议纪要","2024-01-20","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1864","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"68","裕民县人民政府2024年度第一次常务会会议纪要","2024-01-09","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1863","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"69","裕民县人民政府2023年度第十五次常务会会议纪要","2023-12-06","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1742","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"70","裕民县人民政府2023年度第十五次常务会会议纪要","2023-12-06","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1749","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"71","裕民县人民政府2023年度第十四次常务会会议纪要","2023-11-21","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1741","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"72","裕民县人民政府2023年度第十三次常务会会议纪要","2023-10-30","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1740","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
"73","裕民县人民政府2023年度第十二次常务会会议纪要","2023-10-10","裕民县人民政府网站","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx/content_1739","https://www.xjym.gov.cn/zwgk/fdzdgknr/zdhyxx","栏目链接标题含会议纪要","","访问错误","采集时页面访问失败，不作为正文结构样例。","二〇二六年七月二十五日公开资料采集整理"
